category,description
Household,"Gala Twin Bucket Spin Mop with 2 refills and 1 liquid dispenser (Blue) Gala Twin Bucket Spin Mop Set A great complement to your home cleaning tools - including a dual bucket and two 360 spin mops, this set offers comfort and superior cleaning performance in just one product. Designed purposefully for use on any type of floor (tiles, wooden, flooring, slate, linoleum, etc) and reach even the most difficult spots with easy-to-grip handle and mop extension. Product details Splittable dual bucket with clean and dirty water compartments - Compact design and easy storage Built-in wringer for a comfortable cleaning process Expandable stainless steel handle with quick lock: up to 117cm Built-in liquid dispenser for extra aroma and effective cleaning Gala Spin Mop Refill compatible with this set Microfiber mop that easily removes dirt and particles while efficiently absorbing liquids Gala is part of Freudenberg Home and Cleaning Solutions Freudenberg Home and Cleaning Solutions is a Freudenberg company and a world leader in cleaning tools with Vileda being its most popular brand. FHCS is present is all over the world with successful brands for over 60 years now. In India, the com-pany is present in all leading modern trade outlets and also distributed in the general trade/grocery stores via a network of over 250 distribution partners."
Household,"iBELL Tool Box 39Cm (16"") Premium Virgin Plastic With 5 Organising Compartments"
Household,"American Micronic-AMI-VCD21-1600WDx-Wet and Dry Vacuum Cleaner with Blower Function, 1600Watts, 21-litres, Stainless Steel Drum This stainless steel vacuum cleaner is an excellent device to clean your home or office. Designed to meet your varied needs, it has a sleek design with a stainless steel body that makes it stand out wherever you keep it. Furthermore, the superior quality of its suction mechanism allows you to remove both solid particles and fluids with equal ease. American Micronics vacuum cleaner has a powerful 1600w motor that is able to draw in every last piece of dirt using the heap filter that captures small particles that cause allergens. With this vacuum cleaner, you can conveniently remove dirt, pet hairs, tough stains and more with complete ease. Operating at 220v of power, the American Micronics vacuum cleaner provides impressive airflow rate and water-lift capability. The vacuum cleaner comes equipped with different attachments that help you do a thorough cleaning job. This vacuum cleaner with reusable dust bag also features a blower function that helps you blow away dirt if needed. Brand: American Micronics power: 220v motor: 1600w reusable dust bag design excellent airflow rate blower function this model comes with blower function which extracts scum from even the places that are tough to access. Furthermore, the blower comes in handy to blow out the dust and other debris into the trash can. American Micronics believes in delivering better technologies, premium built quality and unmatched after sales service that brings true for its customers and builds a loyal customer base"
Household,"KETSY 847 G.Clamp 1"" Set of 4 Pcs Advanced frame design resists flexing and bending Oversized T handle for extra torque"
Household,"Pigeon Blaze Blackline Glass 4 Burner Gas Cooktop (Black) Pigeon Blaze 4 burner cooktop is designed to suit all your Cooking needs. The highly durable brass burners offers uniform heat conduction for even heating of food and enable you to efficiently multi task in the kitchen. The hairline finish stainless steel body, toughened glass and designer knobs make for an elegant kitchen accessory. Crafted to make your cooking comfortable and convenient."
Household,Zerodis Manual Plane Adjustable Hand Edge Planer Spoke Shave Woodworking Cutter Specification:Blade Material: Alloy steelSize: 21.3 x 5.3 cm / 8.39 x 2.09 inch (approx.)Package list:- 1 x Woodworking Hand Tool
Household,"Candes 1000Watt Copper Immersion Water Heater Rod (Black) Immersion water heaters rod are extremely useful and a convenient way for heating water. The Candes immersion heating rod is a must-have product for your home. Thanks to its compact in size, this immersion heater can be easily accommodated in storing places or cabinets. This Candes immersion heater Rod heats water quickly consuming 1000W, thus proving to be energy-efficient. this 1000 watts immersion heater facilitates optimum heat transfer for an enhanced performance. To get hot water, you have to simply dip it in a tub, bucket or container of water and switch on the rod. Warranty Details for this offer CANDES Electrical Appliances have a Warranty against of manufacturing defects for a period of 12 months from the date of purchase. CANDES Electrical Appliances Service Centre is situated in Delhi Only."
Household,"Skywalk Anti Slip Foam Kitchen Cupboard Liners Mat and Drawer Liner Mats, 45x300cm(Multicolour) - Set of 2 Anti slip 45 x 300cm kitchen cupboard liners mat roll drawer liner mats drawer refrigerator table pad waterproof place mat set of 2 pieces."
Household,"Quace Plastic 138 LED Curtain String Lights with 8 Flashing Modes Decoration(12 Stars, Yellow) Size:Warm Stars   Specifications:Size: 6.7ft, 3.3ftWire length: 6.7ftPlug wire to the controller: 3.3ftSmall star diameter/length: 0.3ft/2ftBig star diameter/length: 0.67ft/3ftStar quantity: 12 pcs (6 big+ 6 small) Led quantity: 138 ledsLed waterproof level: ip44Voltage: 110vOutput: 29v safe low voltage (includes ul plug-in transformer) Features:8 flash modesCombination, in waves, sequential, slogs, chasing/flash, slow fade, twinkle/flash, and steady on. High brightness12 stars 138 leds, romantic atmosphere. High-brightness string light, but not dazzling. Easy to useJust plug in and unplug it for power on and off, simple and easy to set up. Widely usedCan be hung on walls, windows, doors, floors, ceilings, grasses, christmas trees and more Decorate for party, wedding, festival, shows, restaurant, hotel, commercial building, shopping center, pub, concert, hall and so on. Notes:Waterproof level is IP44, but the power and controller is non-waterproof, please keep them away from water. White buckle is to fix the main power cord line, cannot be cut, otherwise the string lights will be separated."
Household,"Imported Universal Quilting Embroidery Presser Foot for Sewing Machine Description:- Darning freehand embroidery hopper free motion quilt foot for BROTHER JANOME SINGER This foot can be used for free hand embroidery (like drawing with stitches) and for quilting designs This attachment is an ideal addition to your sewing machine and makes a welcome gift for a keen sewer. Suitable for Butterfly, Brother, Singer, Janome, Juki and other Multifunctional Sewing Machine Please kindly note this does not fit for industrial sewing machine, nor mini sewing machine and some old singer models?974?8019?9032? Material: Steel Color: Silver Package Includes: 1 x Presser Foot Note : Since the size above is measured by hand, the size of the actual item you received could be slightly different from the size above."
Household,"LG 1.5 Ton 3 Star Inverter Split AC (Copper, JS-Q18YUXA, White) Special Ocean Black Protection applied to both Indoor and Outdoor unit provide exceptional durability for the air conditioner in typical Indian regions affected from sand, salt, industrial smoke and pollutants. LG Air Conditioner are designed to detect low refrigerant levels which can leave the room hot and uncomfortable."
Household,"10x Matte Finish Stainless Steel Sink Kitchen, Bathroom Accessories (24x 18x 9-inch) Made of high quality grade stainless steel, 10x Stainless Steel Kitchen Sinks will not stain, tarnish or rust over time.World class production methods ensures that every 10x Stainless Steel Kitchen Sink is of the highest quality."
Household,Cello Quick CLO_QUICKPOP_300_RED_2 Slice 700-Watt 2 Slice Pop-up Toaster (Red)
Household,"Story@Home 100% Cotton Soft Towel Set of 10 Pieces, 450 GSM - 10 Face Towels - White Color Name:White   Story@Home brings you wide range of 100% pure premium cotton towels of different sizes with vibrant colors. Towels keep you cozy, dry and clean. Nothing beats the level of comfort they provide when we wrap up in towel after an exhausting swim or hot bubble bath or taking a steam bath with it. Our towels are extremely soft due to special combed weaving technique providing high absorption and faster drying. One of the best weaving technique for making highly effective towels resulting in lower lint formation. Our towels become softer after every wash and are washing machine friendly, just toss them in to your washing machine. These towels color fast.  Cotton towels never irritate or rub skin the wrong way as other materials do, hence these towels are made of 450 GSM making a perfect balance of light weight, softness and much faster drying - suitable for traveling. This also makes our towels ideal for regular use, places like gyms, salons and kitchens, where function trumps comfort every time. Buy these towels with confidence and experience the richness and effectiveness. One of the best and thoughtful gifting idea to newly wedded couples, new home owners, family, friends or for welcoming guests who love to live life luxuriously."
Household,"Docoss Stainless Steel Glossy 5 Pin Cloth Hanger Wall Door Hooks Rail for Hanging Clothes, Towel Hook Set (Silver, Pack of 2)"
Household,"Auto Car Winner at-1 LED Ashtray for Car (Black) Auto Car Winner is now giving you an opportunity to do your bit for swachh bharat abhiyaan with this cool looking blue LED light ash tray. This can be used in car, home or office. Its unique design helps extinguish cigarettes easily and keep the smoke and odor from butts to an absolute minimum."
Household,Tclpvc Premium Waterproof Double Cool 4/7 Feet Bamboo Chick Window Closer Tclpvc Premium WATERPROOF Double Cool 4/7 feet Bamboo Chick Window Closer - Curtains For Balcony - Windows - Outdoors - Door - Kitchen - Home - Office - Hotel - Resorts – Blinds - Shades – Screens - Patio Umbrellas - Canopies - Shade - Sunscreen Fabric - Screens - Protection - Balcony Privacy - Protective Screens - window blind curtain – Verandas - Public Areas - Door Curtain - Fly Screen - Divider Room US - 1011
Household,"Kawachi Steam Generator For Steam Sauna bath therapy – Modern form of Ayurvedic Panchkarma Sauna Steamer for Bathroom with Remote Control 1.PORTABLE: You can open/close the project remotely via the remote control or control it through the buttons on the body to get the proper temperature and time.  2.MATERIAL: Stainless steel one-piece molding without welding, long-lasting safety, health and environmental protection.  3.WIDE APPLICATION: The steam generator is mainly used in steam sauna, spa, steam cabin, steam room, and also for family bathroom.  4.ADVANTAGES: It can be used in steam saunas to lose weight, detoxify and slim down through perspiration.  5.SAFTY:The use of water and electricity separation design, explosion-proof, anti-dry, dry burning, automatic power off, leakage prevention. The safety of the three-hole plug can effectively prevent the occurrence of electric shock accidents. Features: 1. Portable steam generator for easy cleaning and storage. 2.Water and electricity separation design allows you to stay away from dangerous factors during use, explosion-proof, anti-dry and anti-leakage. 3.Power saving is more worry-free, so that you can enjoy the expensive spa outside at home without leaving home. 4.A wide range of use, very suitable for home use, long-term use of the human body can be through the steam sauna to lose weight, detoxification, slimming effect. 5.The use of materials is more healthy, safe and environmentally friendly is our greatest pursuit. Specifications: Dimension: 26*21*25cm Temperature regulation: 1-9 files Time control: 0-99 minutes Voltage : AC220/230 V(50/60Hz) Power : 750 Watts. Capacity of Water: 2 L How to use our sauna steam generator? 1.Fill the evaporator compartment with tap water up to the indicated maximum water level,you could add a few drops of aromatherapy at this stage . 2.Connect the evaporator’s main plug into a convenient socket,set the timer,to 30 minutes or over ."
Household,"10X Sink Tap Goft Swivel Spout Chrome Plated Foam Flow 15mm, Sink Cock, Bathroom Fittings, Taps The body is made from pure brass and spout is SS. You save water and energy, because this sink tap has a mechanism that reduces water flow while maintaining pressure. The Swivel Spout makes it easier to wash dishes. Chrome-plated brass is a hard and durable surface that is easy to clean. The tap insert has hard, durable discs that can handle the high friction that occurs when you change the temperature of the water."
Household,"V-Guard VG 400 AE 10 2850-Watt AC Stabilizer (White) V Guard stabilizers come with state of the art technologies such as itds (intelligent time delay system) that provides reliable protection to your ac, an intelligent digital display system that provides peace of mind, overload protection to safeguard ac during turbulent times, etc. What’s more our sleek and innovatively designed stabilizers will look cooler than your ac and add value to the upscale interior of your home."
Household,"Supreme Mall Stainless Steel Folding Camp Chair with Matching Tote Bag (Brown) Perfect for camping, BBQs, outdoor concerts, the beach, tailgating, or the backyard, this Camping Chair by Oniva, a Picnic Time brand, features a portable, folding design that sets up in seconds, then collapses down again for easy transport and storage when not in use. The is made of durable 600D polyester on a powder-coated steel frame with extra-long armrests and is designed so the seat back is slightly reclined for a more comfy seating position and perhaps for catching more Zzzzs? It includes a mesh cup holder in the right armrest to keep your favorite beverage handy and it comes with a carry bag with shoulder strap. Measures open: 31.25 L x 22 W x 33.5 H and holds up to 300 pounds. The serves as an awesome beach chair, too! Backed by the Picnic Time Family of Brands BUILT TO LAST Lifetime Guarantee."
Household,"Magnifico® 15 Piece Toddler Baby Bathtub Bathing Chu Chu Squeeze Bath Toys Non-Toxic BPA Free, Animal Shape Color : Multi-Color Size : Set of 14 Piece Animals Soft Toys Your floors might take a soaking, but your kids are always tapping into the core of their imaginations and that they are truly in their element during bath time. But, if we can slow down and let our babies and kids engage in their bath time in meaningful ways, they can actually learn and gain valuable skills. By age three, 85% of a baby’s brain is developed so it’s important to engage your child during bathing time. When multiple senses are stimulated, like during bath time, the brain’s processes for learning are enhanced. All of these bath toys focus on engaging your child’s senses and imagination while in the tub. These colorful rubber bath toys are available in various novelty variations, generally with a flat base, which makes it float in water without leaking. They are wholly sized to fit in your little princes & princesses’ hands. These toys create fun & surprising ‘Chu Chu’ sound when squeezed, surely making your kid giggles, and that is truly priceless. It is perfectly safe for children older than 4 Months to play with these toys. They are non-toxic & BPA free, so be carefree, as kids tend to put toys in their mouth. Animals may vary in different packages. Listed are animals included in the package: Duck Bear Fish-2 Chick Cat Pig Turtle Penguin Rooster Dog Frog Elephant Rabbit Octopus Believe us when we say – these little kid shenanigans will fly by before you know it and you’ll miss this time. If you can incorporate some active, engaged play regularly in the tub, you and your kids will reap the benefits later."
Household,"DeckUp Siena Side Table (Dark Wenge, Matte Finish) Color:Dark Wenge   Assembly required: the product requires basic assembly and comes with diy (Do-It-Yourself) assembly instructions."
Household,"TerraCotta Journey Natural Shadu Mitti/Clay Powder Bag for Eco-Friendly Ganesha, Sculpture and Modeling, Jewellery Shadu Clay Powder, Natural & Original Clay This clay for craft is extremely versatile with its air drying properties and can be used in jewelry making, arts & crafts projects, school & college model making projects & sculptures"
Household,"Jaipuri Haat Golden Metal Decorative Swan Duck Shape Napkin/Tissue Paper Holder Item Package Quantity:1                                                                                 |                            Color Name:tissue holder   A beautiful tissue paper holder in the shape of swan is brought to you by Gaura Art & Crafts very beautiful carving done on white metal in Antique golden finish to form this piece of beauty and utility. It is a beautiful piece to add beauty to your home decor and to be kept on dining table. As it is a thing of beauty and utility it can also be the best gift to your near and dear ones on all occasions like birthday , anniversary,housewarming gift, wedding gift or any other return gift . as it is handcrafted slight variations in colour and design may appear."
Household,"Inalsa Handy Steam 600-Watt Garment Steamer (White/Purple) As the name suggest, a handy garment steamer. Vertical steam for quick wrinkle removal. Easy to carry. Overheat safety and boil dry protection."
Household,"Rachees Plastic Fridge Space Organiser Storage Shelf Rack Drawer (Assorted Colour) Slide design, fridge freezer food storage shelf. Also can be used under the table to hold some small things. One small-item shelving mounted on the refrigerator glass partition . This storage rack is for organising food,drink,fruit and, which is very suitable for using under the table or refrigerator. Contractile activity card slot, flexible use, convenient and smart slide design, which is space-saving and easy to storage. Lightweight and durable food container,folding construction design and it's great to be put into refrigerator. Multi purpose storage racks organisers for refrigerator, office and kitchen for double storage and extra space. Package included : 1 x fridge freezer space saver organiser."
Household,"Amity Dzire Tumbler Holder | Toothbrush Holder, Wall Mounted for Bathroom and Wash Basin, AISI 304 Grade Stainless Steel with Chrome Finish Use: A study found that millions of germs on a single toothbrush, so something is required to keep your toothbrush in proper place to keep it clean and free from germs. Although temple of teeth resides in the toothbrush. This is the perfect product to maintain your toothbrushes and toothpaste in organized manner. This product can be used in bathroom and wash basin as a toothbrush holder. It contains a glass container and 4 separate holes to carry toothbrushes, toothpaste, tong cleaner, razer.Look and Feel: This tumbler holder having rich chrome finish which gives exceptional look and admirable feel. Incredible cubic design to make your bathroom more organized and look more elegant. Shiny surface of the product provides distinctive look every time as a consequence of reflections from variety of angles.Product Material: Stainless steel of grade 304 is high-end anti rust material as compare to 202 grade steel, which gives durability and due to this product is moisture proof and resistant to changes in temperature. Fittings: This toothbrush stand is suitable for wall mount. Fitting materials like screws and wall plugs are also provided in the box.Safety Information: Avoid using Acid or Hard Chemical to clean and wash."
Household,"Amazon Brand - Solimo XXXL Bean Bag Cover Without Beans (Brown) Size:XXXL   Solimo bean bag covers are made from leatherette fabric which is double-stitched with superior seam and tear strength. They are built to be durable, comfortable and are a great addition to the contemporary home. The covers come with a 1-year limited warranty against manufacturing defects."
Household,"HS-STORE's Garlic Chopper Garlic Press Multi Functional Ginger Mashing Garlic Cutter * Fast and easy to slice, dice, grate and store. * A quick push is all it takes to slice or dice garlic, fast! * The cut garlic is stored in the clear removable container beneath, leaving no odor on hands. * Comes with 2 blades - one for mincing/dicing and one for slicing. * Put the cleaned garlic in the top, close and press. * Garlic stores in removable clear container in bottom. * Bottom of removable container also has a micro-grating surface for grated garlic. * Close top and store in refrigerator for next use. * No more mess!! High quality construction with stainless steel blades. * Second blade stores in bottom. * The Garlic Press Chopper is a simple kitchen gadget that can chop and mince garlic with only a fraction of effort than traditional garlic press. * Each garlic press is equipped with two interchangeable blades that chop or mince garlic. * Simply place the garlic on the blade and push down the lid to chop the garlic. * This gadget can also be used for chopping or mincing small vegetables such as red pepper as well. * Two sturdy blades ensure consistent result and easy to use. * Make food garnish or sauce with this garlic press. * A removable filter is attached of the lid to simplify the cleaning process, a brush can be found inside the package for cleaning the filter and storage bin. * Product Size:7.5X7.5X6CM"
Household,"Philips Garment Steamer (GC523/60) NEW. 1600W, 32g/min, 5 steam settings,1.6L Detachable tank,Accessory ready to use 1 min,voltage220-240v, 2 year warranty, Brush"
Household,"Orient Electric Monroe Tower Fan with Remote (40 Watts, White) Orient Monroe is both an eye-catcher and a conversation starter. Looking like something straight out of science fiction, Orient Monroe tower fan is not something you’ll get to see every so often. A perfect addition to any modern setting, this lifestyle fan boasts a nice, slim design and features a strong and reliable motor to ensure good airflow. Orient Monroe runs so silently that you will hardly notice that a fan is running. Being compact, this fan fits easily into any space big or small, be it your home, shop or office cabin. The classy fan comes complete with 3 speed settings, in-built timer and remote control for ease of use. Also, the fan has three different mode of use namely Natural, Normal and Sleep. With such an inimitable design, Orient Monroe tower fan is sure to become the focal point in any setting."
Household,"HomeStrap Cotton Reusable Muslin Fridge Storage Bag for Fruits and Vegetables(Beige) - Set of 12 Size:Set of 12   Live without plastic. HomeStrap reusable cotton muslin storage bags for fruits, vegetable, toys, accessories, cosmetics, shoes. It is made up of 100% natural cotton fabric to keep your fruits and vegetables fresh for longer. The cotton fabric is 100% natural, sustainable for long, biodegradable, recyclable. The bags are in 3 different sizes to store things as per your need. It has drawstring closure for easy opening and closing."
Household,Usha Mist Air Duos Table Fan (Blue) Aerodynamic pp blades for better air delivery with low noise dual colour design with attractive and decorative style jerk-free & uniform oscillation soft hand tilting mechanism with dual options - knob & ratchet type mechanisms fuse to auto-protect motor during thermal overloading 2 years standard warranty
Household,"Lukzer 1 Pair Silicone Cleaning Brush Scrubber Gloves (Random Colour) for Dishes, Car and Pet, Dish wash Are you looking for something creative to protect your hands when you are washing dishes or car? Lukzer Cleaning Scrubbing Gloves might be right for you for home washing , car cleaning etc. The clean gloves are made of rubber for long lasting, repeated use and sticks hand comfortably. This product is the pure natural latex sponge plus composite microfiber cloth. Combining the three most common household cleaning tools into one glove.Widely used in clean kitchen,toilet,floor,carpet and moderate dirt,can dry wet amphibious"
Household,"ALTON SHR20835 ABS 6-inch, 6-Function Overhead Shower with Mist & Massage Flow and Swivel Joint, Shower Head Wall Mounted (Chrome)"
Household,"HOKIPO PVC Shelf Liner for Cupboards, Brown(30x100cm)-Pack of 4 Size:4 PIECE SET   This anti-slip mat roll can be cut to any size to fit drawers, refrigerators, shelves or any place where they are needed. They provide a non-slip surface that prevents things from falling and slipping. They hold kitchen items like glasses, cups, crockery, cutlery, jars, bottles, containers in kitchen and countertops; bath and shower items in the bathroom; hardware and tools in the garage or workshop; car interiors and dashboard in cars, automobiles and many other places. Made of super-strong, textured PVC, they are crack resistant and resist low temperature inside refrigerators. They are easy to cut and make an indispensable item in your home and kitchen."
Household,"Gatsby Leather Styling Wax, Mat And Hard, 75g Style name:Mat and Hard   For trendy young men who want to create hairstyles that suit their personality.Long-lasting effect. It has a re-styling ability. Can create a voluminous Hirajuku style with rich expression. Provides volume by making hair curly with a strong styling ability. Arrrange desired hairstyle without stiffness and stickiness."
Household,"Godrej E-Laptop Pro Electronic Safe (Ivory, Powder Coated Finish) A safe that secures your laptops and gadgets"
Household,"Ajanta Royal Set Of 6 Individual Photo Frames (4-6X8 And 2-8X10 Inch)-Black : A-89A Color:Black   Photo Size - 4-4""X6"" And 2-6""X8"" Inch And Frame On Wall Size - 3-Feet X 1.50-Feet.Photo Size Will Be 4-6""X8"" And 2-8""X10"" Inch If Mount (Border) Is Removed.Box Content : Set Of 6 Individual Frames.It`S A Unique One With Exclusive Quality.Material - Premium Quality Of Synthetic Wood, With Improved Hanging Hooks Quality Material."
Household,"KC Cab Copper PVC Insulated Wire 90 m Coil(Red) KC Cab brings you the cable of 0.5 sq mm to 6.00 sq mm length. Available in six colors, this cable has copper conductors, which are highly effective in supplying power without any breakdown. KC Cab has come a long way in establishing itself as a major player in the Cable and wires industry. With the extensive knowledge and experience in this respective domain, we are engaged in offering PVC Insulated Industrial Cables. This is a product of electrical wires from KC Cab. These Wires are ideal for wiring of electrical control panels, industrial sheds, buildings, and so on."
Household,"Casa Copenhagen Eternal 6 Piece 450 GSM Egyptian Cotton Hand Towel Set (40cmx60cm) - Blue Bird,Flamingo Pink,White,Italian Plum,Canyon Orange & Rum Raisan … Item Package Quantity:6                                                                                 |                            Color Name:Multi 1   Come out of the Stripes pattern traditional towels with Eternal collection towels from Casa Copenhagen, in attractive modern colours. This Eternal collection of terry towels are made from long staple fine cotton yarn. gives more Softness and are more absorbent than other regular ring spun towels. De twisting the yarn opens the cotton fibres so that they can trap air and moisture between them, this increases softness and absorbency. Also it will cause all the air to reach in the deep inner parts of the yarn and will decrease the time a towel will take to dry after use or after washing. The towels will dry faster in the washing machine, thus saving energy."
Household,"Pure Source India Scented Tea Light Candle (Red Rose) Smokeless Candles Made In India (25 pcs Candles) Pure Source India smokeless tea light candle ,Package of 25 Scented Tealight candles in a self-standing aluminum tin. With these quality Tealights you can enjoy the warm glow of a fine candle while enjoying the maximum safety of the tea light candle. If you’re a restaurant, party planner or just enjoy dining to the romantic touch of tealites, these quality long burning will deliver the ultimate and lasting radiation of warmth. made with a special technique to prevent early burn out of your Tea Lights. Tea Lights are an efficient and inexpensive, cost effective form of candle lighting for your ritual and religious ceremonies or any type of celebrations and Holidays. Universal size of ½” tall x 1.5” diameter. Burns nice and clean to the last drop for 2.5 / 3 hours. ""WARNING"" Never leave burning candle unattended. Keep 2 inches between candles. Put candles on fireproof objects only."
Household,"Voltas Mini Magic Pure-T 500-Watt Water Dispenser (White) Type - Table top. Warranty - 1 Year. Taps - Hot, plain and cold taps. Cooling - 3 LPH. Heating 5 LPH. Type - Water dispenser. Brand - Voltas. Tank - SS304 stainless steel."
Household,"HEALIFTY Christmas Decoration 45cm DIY Tabletop Christmas Tree Artificial Christmas Tree Desktop Ornament Home Party Holiday Decoration DescriptionAre you looking for decorations in Christmas? This DIY Christmas tree might fit your needs. Comes with ornaments, you can DIY this small tree yourself. It features adorable looking and fine craftsmanship, is a unique tabletop decoration. It is great for Christmas, creating festive atmosphere for the festival.Features- Color: As shown.- Material: PVC.- Size: About 45x24x24cm.- Made of good-quality material, durable for long-lasting use.- Decorate the tree with ornaments including treetop star, bowknots, apples and more.- Nice gift to friends to families in Christmas.- Festive tabletop decoration for Christmas, festival or usual home decor.Package Including1 xChristmas Decoration 45cm DIY Tabletop Christmas Tree Artificial Christmas Tree Desktop Ornament Home Party Holiday Decoration"
Household,"Koryo 750W Pop-up Toaster, Red Making toasts was never so easy - The Koryo Pop-up Toaster RKPT925R (Red Coloured Base) is not only effecient but also designed beautifully to add class to your kitchen.The toaster has 2 slice capacity and multiple levels of browning. It has a power consumption range of 730-870 W and comes with a Reheat function. The toaster has an auto shut off function for additional safety. Build with a slide out crumb tray, the toaster provides a simple but effective method to get the bread ready for a wonderful toast. The toaster comes with a warranty of 1 year."
Books,L'Eschole Francoise: Pour Apprendre A Bien Parler Et Ecrire Selon l'Usage de Ce Temps Et Pratique Des Bons Autheurs (Classic Reprint) 
Books,"Organic Shastra Pav Bhaji Masala 150g Pav bhaji, a popular street food of India, is incomplete without Pav Bhaji masala. It is a blend of spices - red chillies, coriander seeds, cumin seeds, black pepper, cinnamon, clove, black cardamom, dry mango powder, fennel seeds and turmeric powder. Not just in pav bhaji, this aromatic masala can also be used to spice up curries, stir fries, rice preparations etc"
Books,"The Great War for Civilisation: The Conquest of the Middle East (Vintage) Review ""A magisterial report from the shifting front lines of the Middle East. It deserves to be read by all those concerned with what is happening in Iraq today."" —The Boston Globe“A stimulating and absorbing book, by a man who . . . has met the leading players, from bin Laden to Ahmad Chalabi. . . . A formidable production.” —The New York Times Book Review“Vivid, graphic, intense. . . . A book of unquestionable importance. . . . [Fisk’s] experience of war is unmatched, [as is] his capacity to convey that experience in concrete, passionate language.” —The Washington Post Book World“Fisk’s magnum opus. . . . Seals [his] place as a venerable, indispensable contributor to informed debate in and about the Middle East.” —The Nation“Powerful . . . Mr. Fisk is a gifted writer and an accomplished storyteller . . . his love affair with the region and the glamorous profession of being a foreign correspondent finds expression on every page.” —The Economist  About the Author Bestselling author and journalist Robert Fisk holds more British and international journalism awards than any other foreign correspondent. Fisk is currently the Middle East correspondent of The Independent, based in Beirut. He has lived in the Arab world for more than 40 years, covering Lebanon, five Israeli invasions, the Iran-Iraq war, the Soviet invasion of Afghanistan, the Algerian civil war, Saddam Hussein’s invasion of Kuwait, the Bosnian and Kosovo wars, the American invasion and occupation of Iraq and the 2011 Arab revolutions. He has been awarded the British International Journalist of the Year Award seven times and has also received the Amnesty International UK Press Award twice. Robert Fisk received a Ph.D. in Political Science from Trinity College, Dublin and was The Times's (London) Belfast correspondent from 1971-1975 and its Middle East correspondent from 1976-1987. He is also the author of Pity the Nation, a history of the Lebanese war, and The Age of the Warrior, an anthology of his ‘Comment’ pieces from the Independent.               See all Product description"
Books,"MHT-CET 20 Question Paper Set (Physics, Chemistry, Maths and Biology) MHT-CET 20 Question Paper Set (Physics, Chemistry, Maths & Biology)  by Target Publications is an extensively compiled handbook for Engineering & Pharmacy aspirants in Maharashtra. The content of the book is in adherence to the latest syllabus notified for MHT CET Entrance Examination. The salient features of the book is as follows:   Detailed description of the latest MHT CET Paper Pattern, Marks Distribution & Syllabus for all subjects is given at the start of the book to help students prepare effectively.  20 Question Papers which entail questions & solutions that touch upon the conceptual nodes of the following subjects:  Physics Chemistry Mathematics Biology  The book concludes with expedient Hints to all the Model Test Papers provided herein.  This book has been meticulously put together to assess the proficiency of students’ paper-solving skills. The questions throughout the book are specifically curated by our expert authors with an end goal, to create an immaculate tool that would help students to ace the MHT-CET Examination & achieve exemplary results."
Books,"GROUP-1 MAINS APPSC-(Science & Technology,Environment)2019 EDITION,TELUGU MEDIUM GROUP-1 MAINS APPSC-(Science & Technology, Environment)2019 EDITION TELUGU MEDIUM"
Books,"A Handbook on Mechanical Engineering - Contains well Illustrated Formulae and Key Theory Concepts Review This book contains all the topics covered as mentioned. especially useful for non-mechanical guys like aero, civil, automobile graduates who are preparing for entrance exams under mechanical stream. But remember, in order to crack exams like gate, ies, psu, you need to work beyond this book. this book is just an introduction of topics. --By Lawrenzi Samuel on Oct 3, 2015"
Books,Nursing Research and Statistics 
